item_1,item_2,sim
0,0,0.0
0,1,0.6
0,2,0.7
0,3,0.8
0,4,0.7
0,5,0.6
0,6,0.7
0,7,0.8
0,8,0.8
0,9,0.8
0,10,0.8
0,11,0.8
0,12,0.8
0,13,0.8
0,14,0.7
0,15,0.7
0,16,0.7
0,17,0.7
0,18,0.6
0,19,0.6
0,20,0.7
0,21,0.8
0,22,0.8
0,23,0.7
0,24,0.7
0,25,0.7
0,26,0.8
0,27,0.7
0,28,0.8
0,29,0.7
0,30,0.8
0,31,0.8
0,32,0.7
0,33,0.8
0,34,0.7
0,35,0.8
0,36,0.8
0,37,0.7
0,38,0.8
0,39,0.7
0,40,0.7
0,41,0.8
0,42,0.7
0,43,0.6
0,44,0.7
0,45,0.7
0,46,0.7
0,47,0.7
0,48,0.8
0,49,0.7
0,50,0.8
0,51,0.8
0,52,0.8
0,53,0.8
0,54,0.8
0,55,0.6
0,56,0.7
0,57,0.7
0,58,0.8
0,59,0.7
0,60,0.8
0,61,0.8
0,62,0.8
0,63,0.7
0,64,0.7
0,65,0.8
0,66,0.7
0,67,0.7
0,68,0.6
0,69,0.7
0,70,0.6
0,71,0.6
0,72,0.6
0,73,0.7
0,74,0.6
0,75,0.6
0,76,0.7
0,77,0.7
0,78,0.7
0,79,0.7
0,80,0.7
0,81,0.7
0,82,0.7
0,83,0.7
0,84,0.7
0,85,0.7
0,86,0.7
0,87,0.7
0,88,0.7
0,89,0.7
0,90,0.6
0,91,0.7
0,92,0.6
0,93,0.6
0,94,0.7
0,95,0.6
0,96,0.6
0,97,0.7
0,98,0.7
0,99,0.7
0,100,0.7
0,101,0.7
0,102,0.6
0,103,0.6
0,104,0.6
0,105,0.6
0,106,0.7
0,107,0.6
0,108,0.7
0,109,0.7
0,110,0.6
0,111,0.7
0,112,0.6
0,113,0.7
0,114,0.6
0,115,0.7
0,116,0.7
0,117,0.6
0,118,0.7
0,119,0.6
0,120,0.7
0,121,0.7
0,122,0.7
0,123,0.7
0,124,0.7
0,125,0.6
0,126,0.6
0,127,0.6
0,128,0.6
0,129,0.7
0,130,0.7
0,131,0.7
0,132,0.6
0,133,0.6
0,134,0.7
0,135,0.7
0,136,0.7
0,137,0.7
0,138,0.7
0,139,0.6
0,140,0.6
0,141,0.7
0,142,0.6
0,143,0.7
0,144,0.7
0,145,0.7
0,146,0.6
0,147,0.6
0,148,0.6
0,149,0.7
0,150,0.8
0,151,0.8
0,152,0.7
0,153,0.8
0,154,0.7
0,155,0.6
0,156,0.6
0,157,0.6
0,158,0.6
0,159,0.7
0,160,0.7
0,161,0.7
0,162,0.7
0,163,0.6
0,164,0.7
0,165,0.7
0,166,0.6
0,167,0.6
0,168,0.6
0,169,0.6
0,170,0.6
0,171,0.7
0,172,0.7
0,173,0.6
0,174,0.6
0,175,0.6
0,176,0.6
0,177,0.6
0,178,0.6
0,179,0.7
0,180,0.7
0,181,0.6
0,182,0.6
0,183,0.6
0,184,0.7
0,185,0.6
0,186,0.7
0,187,0.7
0,188,0.6
0,189,0.6
0,190,0.6
0,191,0.6
0,192,0.7
0,193,0.7
0,194,0.6
0,195,0.6
0,196,0.7
0,197,0.6
0,198,0.6
0,199,0.6
0,200,0.7
0,201,0.7
0,202,0.8
0,203,0.7
0,204,0.7
0,205,0.6
0,206,0.8
0,207,0.6
0,208,0.8
0,209,0.7
0,210,0.6
0,211,0.7
0,212,0.6
0,213,0.6
0,214,0.6
0,215,0.7
0,216,0.6
0,217,0.7
0,218,0.7
0,219,0.7
0,220,0.6
0,221,0.6
0,222,0.6
0,223,0.7
0,224,0.7
0,225,0.7
0,226,0.7
0,227,0.7
0,228,0.6
0,229,0.6
0,230,0.6
0,231,0.7
0,232,0.7
0,233,0.7
0,234,0.7
0,235,0.7
0,236,0.7
0,237,0.7
0,238,0.6
0,239,0.6
0,240,0.7
0,241,0.6
0,242,0.7
0,243,0.6
0,244,0.7
0,245,0.7
0,246,0.7
0,247,0.7
0,248,0.6
0,249,0.7
0,250,0.7
0,251,0.7
0,252,0.6
0,253,0.7
0,254,0.6
0,255,0.6
0,256,0.6
0,257,0.7
0,258,0.7
0,259,0.7
0,260,0.7
0,261,0.7
0,262,0.7
0,263,0.7
0,264,0.7
0,265,0.6
0,266,0.6
0,267,0.7
0,268,0.6
0,269,0.7
0,270,0.7
0,271,0.7
0,272,0.6
0,273,0.7
0,274,0.7
0,275,0.6
0,276,0.7
0,277,0.7
0,278,0.6
0,279,0.7
0,280,0.7
0,281,0.8
0,282,0.7
0,283,0.6
0,284,0.7
0,285,0.7
0,286,0.6
0,287,0.7
0,288,0.6
0,289,0.6
0,290,0.6
0,291,0.6
0,292,0.6
0,293,0.6
0,294,0.6
0,295,0.6
0,296,0.6
0,297,0.6
0,298,0.6
0,299,0.6
0,300,0.6
0,301,0.6
0,302,0.7
0,303,0.6
0,304,0.6
0,305,0.6
0,306,0.6
0,307,0.6
0,308,0.6
0,309,0.7
0,310,0.6
0,311,0.6
0,312,0.6
0,313,0.6
0,314,0.6
0,315,0.6
0,316,0.6
0,317,0.6
0,318,0.6
0,319,0.7
0,320,0.6
0,321,0.6
0,322,0.7
0,323,0.7
0,324,0.7
0,325,0.7
0,326,0.7
0,327,0.6
0,328,0.7
0,329,0.6
0,330,0.7
0,331,0.7
0,332,0.6
0,333,0.6
0,334,0.7
0,335,0.6
0,336,0.7
0,337,0.6
0,338,0.7
0,339,0.6
0,340,0.6
0,341,0.7
0,342,0.7
0,343,0.7
0,344,0.6
0,345,0.7
0,346,0.6
0,347,0.6
0,348,0.6
0,349,0.6
0,350,0.6
0,351,0.6
0,352,0.6
0,353,0.6
0,354,0.6
0,355,0.6
0,356,0.7
0,357,0.6
0,358,0.6
0,359,0.6
0,360,0.6
0,361,0.7
0,362,0.6
0,363,0.7
0,364,0.7
0,365,0.7
0,366,0.7
0,367,0.6
0,368,0.6
0,369,0.6
0,370,0.6
0,371,0.6
0,372,0.6
0,373,0.6
0,374,0.6
0,375,0.7
0,376,0.6
0,377,0.6
0,378,0.7
0,379,0.6
0,380,0.6
0,381,0.6
0,382,0.6
0,383,0.7
0,384,0.6
0,385,0.6
0,386,0.7
0,387,0.6
0,388,0.7
0,389,0.7
0,390,0.6
0,391,0.6
0,392,0.7
0,393,0.6
0,394,0.6
0,395,0.7
0,396,0.6
0,397,0.7
0,398,0.6
0,399,0.6
0,400,0.6
0,401,0.6
0,402,0.7
0,403,0.7
0,404,0.7
0,405,0.6
0,406,0.6
0,407,0.6
0,408,0.7
0,409,0.7
0,410,0.7
0,411,0.7
0,412,0.6
0,413,0.6
0,414,0.6
0,415,0.6
0,416,0.6
0,417,0.6
0,418,0.6
0,419,0.7
0,420,0.6
0,421,0.6
0,422,0.6
0,423,0.6
0,424,0.6
0,425,0.6
0,426,0.6
0,427,0.6
0,428,0.6
0,429,0.6
0,430,0.6
0,431,0.6
0,432,0.6
0,433,0.6
0,434,0.6
0,435,0.6
0,436,0.6
0,437,0.6
0,438,0.6
0,439,0.6
0,440,0.6
0,441,0.7
0,442,0.7
0,443,0.6
0,444,0.7
0,445,0.7
0,446,0.7
0,447,0.7
0,448,0.6
0,449,0.6
0,450,0.7
0,451,0.6
0,452,0.6
1,0,0.6
1,1,0.0
1,2,0.7
1,3,0.7
1,4,0.7
1,5,0.7
1,6,0.7
1,7,0.7
1,8,0.7
1,9,0.7
1,10,0.7
1,11,0.6
1,12,0.6
1,13,0.7
1,14,0.6
1,15,0.7
1,16,0.7
1,17,0.6
1,18,0.7
1,19,0.8
1,20,0.7
1,21,0.6
1,22,0.7
1,23,0.7
1,24,0.7
1,25,0.7
1,26,0.7
1,27,0.7
1,28,0.7
1,29,0.8
1,30,0.7
1,31,0.7
1,32,0.6
1,33,0.7
1,34,0.7
1,35,0.7
1,36,0.7
1,37,0.7
1,38,0.7
1,39,0.6
1,40,0.7
1,41,0.7
1,42,0.7
1,43,0.7
1,44,0.7
1,45,0.7
1,46,0.7
1,47,0.6
1,48,0.7
1,49,0.7
1,50,0.7
1,51,0.7
1,52,0.7
1,53,0.7
1,54,0.7
1,55,0.7
1,56,0.8
1,57,0.7
1,58,0.6
1,59,0.7
1,60,0.7
1,61,0.7
1,62,0.6
1,63,0.6
1,64,0.7
1,65,0.6
1,66,0.6
1,67,0.7
1,68,0.7
1,69,0.7
1,70,0.6
1,71,0.7
1,72,0.7
1,73,0.7
1,74,0.7
1,75,0.7
1,76,0.7
1,77,0.7
1,78,0.7
1,79,0.6
1,80,0.7
1,81,0.7
1,82,0.6
1,83,0.7
1,84,0.7
1,85,0.7
1,86,0.7
1,87,0.6
1,88,0.6
1,89,0.6
1,90,0.7
1,91,0.7
1,92,0.7
1,93,0.7
1,94,0.6
1,95,0.7
1,96,0.7
1,97,0.6
1,98,0.6
1,99,0.7
1,100,0.7
1,101,0.7
1,102,0.7
1,103,0.7
1,104,0.7
1,105,0.7
1,106,0.7
1,107,0.7
1,108,0.6
1,109,0.6
1,110,0.6
1,111,0.6
1,112,0.7
1,113,0.7
1,114,0.6
1,115,0.6
1,116,0.6
1,117,0.7
1,118,0.6
1,119,0.7
1,120,0.7
1,121,0.7
1,122,0.7
1,123,0.6
1,124,0.6
1,125,0.7
1,126,0.7
1,127,0.7
1,128,0.6
1,129,0.6
1,130,0.7
1,131,0.7
1,132,0.7
1,133,0.7
1,134,0.6
1,135,0.7
1,136,0.6
1,137,0.6
1,138,0.7
1,139,0.6
1,140,0.6
1,141,0.7
1,142,0.6
1,143,0.6
1,144,0.7
1,145,0.7
1,146,0.7
1,147,0.6
1,148,0.6
1,149,0.6
1,150,0.6
1,151,0.6
1,152,0.7
1,153,0.7
1,154,0.6
1,155,0.7
1,156,0.7
1,157,0.7
1,158,0.7
1,159,0.7
1,160,0.7
1,161,0.7
1,162,0.7
1,163,0.7
1,164,0.7
1,165,0.6
1,166,0.6
1,167,0.6
1,168,0.7
1,169,0.7
1,170,0.6
1,171,0.6
1,172,0.7
1,173,0.6
1,174,0.6
1,175,0.6
1,176,0.6
1,177,0.6
1,178,0.6
1,179,0.6
1,180,0.6
1,181,0.6
1,182,0.6
1,183,0.6
1,184,0.6
1,185,0.6
1,186,0.6
1,187,0.6
1,188,0.6
1,189,0.6
1,190,0.6
1,191,0.6
1,192,0.6
1,193,0.6
1,194,0.6
1,195,0.6
1,196,0.6
1,197,0.5
1,198,0.6
1,199,0.6
1,200,0.7
1,201,0.7
1,202,0.7
1,203,0.7
1,204,0.6
1,205,0.7
1,206,0.7
1,207,0.6
1,208,0.7
1,209,0.6
1,210,0.6
1,211,0.6
1,212,0.7
1,213,0.7
1,214,0.7
1,215,0.6
1,216,0.7
1,217,0.7
1,218,0.6
1,219,0.6
1,220,0.6
1,221,0.7
1,222,0.7
1,223,0.6
1,224,0.7
1,225,0.6
1,226,0.7
1,227,0.6
1,228,0.7
1,229,0.6
1,230,0.6
1,231,0.6
1,232,0.6
1,233,0.6
1,234,0.6
1,235,0.6
1,236,0.6
1,237,0.7
1,238,0.6
1,239,0.6
1,240,0.6
1,241,0.6
1,242,0.6
1,243,0.6
1,244,0.6
1,245,0.6
1,246,0.6
1,247,0.6
1,248,0.6
1,249,0.6
1,250,0.6
1,251,0.6
1,252,0.6
1,253,0.6
1,254,0.6
1,255,0.5
1,256,0.5
1,257,0.6
1,258,0.6
1,259,0.6
1,260,0.6
1,261,0.6
1,262,0.8
1,263,0.6
1,264,0.6
1,265,0.7
1,266,0.7
1,267,0.7
1,268,0.7
1,269,0.6
1,270,0.6
1,271,0.6
1,272,0.7
1,273,0.6
1,274,0.6
1,275,0.7
1,276,0.6
1,277,0.6
1,278,0.7
1,279,0.6
1,280,0.7
1,281,0.7
1,282,0.6
1,283,0.7
1,284,0.6
1,285,0.6
1,286,0.6
1,287,0.7
1,288,0.6
1,289,0.7
1,290,0.7
1,291,0.7
1,292,0.7
1,293,0.7
1,294,0.7
1,295,0.7
1,296,0.7
1,297,0.7
1,298,0.7
1,299,0.6
1,300,0.6
1,301,0.7
1,302,0.6
1,303,0.7
1,304,0.6
1,305,0.6
1,306,0.7
1,307,0.7
1,308,0.7
1,309,0.6
1,310,0.6
1,311,0.6
1,312,0.7
1,313,0.7
1,314,0.7
1,315,0.7
1,316,0.7
1,317,0.7
1,318,0.7
1,319,0.6
1,320,0.6
1,321,0.6
1,322,0.7
1,323,0.6
1,324,0.7
1,325,0.6
1,326,0.6
1,327,0.7
1,328,0.6
1,329,0.7
1,330,0.6
1,331,0.7
1,332,0.6
1,333,0.6
1,334,0.6
1,335,0.6
1,336,0.6
1,337,0.7
1,338,0.6
1,339,0.7
1,340,0.6
1,341,0.6
1,342,0.6
1,343,0.6
1,344,0.6
1,345,0.6
1,346,0.7
1,347,0.7
1,348,0.6
1,349,0.7
1,350,0.7
1,351,0.6
1,352,0.6
1,353,0.6
1,354,0.6
1,355,0.7
1,356,0.6
1,357,0.6
1,358,0.7
1,359,0.6
1,360,0.6
1,361,0.6
1,362,0.6
1,363,0.6
1,364,0.6
1,365,0.6
1,366,0.6
1,367,0.6
1,368,0.6
1,369,0.7
1,370,0.6
1,371,0.6
1,372,0.6
1,373,0.6
1,374,0.6
1,375,0.6
1,376,0.6
1,377,0.6
1,378,0.6
1,379,0.6
1,380,0.5
1,381,0.7
1,382,0.6
1,383,0.6
1,384,0.6
1,385,0.6
1,386,0.6
1,387,0.6
1,388,0.6
1,389,0.6
1,390,0.6
1,391,0.6
1,392,0.6
1,393,0.6
1,394,0.6
1,395,0.6
1,396,0.6
1,397,0.6
1,398,0.6
1,399,0.6
1,400,0.6
1,401,0.6
1,402,0.6
1,403,0.6
1,404,0.6
1,405,0.6
1,406,0.5
1,407,0.6
1,408,0.6
1,409,0.6
1,410,0.6
1,411,0.6
